ID,story,V_EWE,A_EWE
92,ashputtel,0.518,0.595
93,ashputtel,0.468,0.184
94,ashputtel,0.796,0.563
95,ashputtel,0.468,0.184
96,ashputtel,0.468,0.184
97,ashputtel,0.238,0.649
98,ashputtel,0.197,0.613
99,ashputtel,0.344,0.376
100,ashputtel,0.468,0.184
101,ashputtel,0.468,0.184
102,ashputtel,0.344,0.376
103,ashputtel,0.468,0.184
104,ashputtel,0.121,0.872
105,ashputtel,0.221,0.63
106,ashputtel,0.344,0.376
107,ashputtel,0.197,0.613
108,ashputtel,0.468,0.184
109,ashputtel,0.468,0.184
110,ashputtel,0.468,0.184
111,ashputtel,0.468,0.184
112,ashputtel,0.221,0.663
113,ashputtel,0.468,0.184
114,ashputtel,0.321,0.421
115,ashputtel,0.19,0.594
116,ashputtel,0.468,0.184
117,ashputtel,0.066,0.805
118,ashputtel,0.622,0.344
119,ashputtel,0.96,0.732
120,ashputtel,0.96,0.732
121,ashputtel,0.447,0.811
122,ashputtel,0.796,0.563
123,ashputtel,0.96,0.732
124,ashputtel,0.96,0.732
125,ashputtel,0.96,0.732
126,ashputtel,0.96,0.732
127,lily_and_the_lion,0.469,0.184
128,lily_and_the_lion,0.469,0.184
129,lily_and_the_lion,0.469,0.184
130,lily_and_the_lion,0.469,0.184
131,lily_and_the_lion,0.333,0.221
132,lily_and_the_lion,0.052,0.287
133,lily_and_the_lion,0.469,0.184
134,lily_and_the_lion,0.959,0.732
135,lily_and_the_lion,0.073,0.84
136,lily_and_the_lion,0.073,0.84
137,lily_and_the_lion,0.103,0.849
138,lily_and_the_lion,0.066,0.644
139,lily_and_the_lion,0.073,0.84
140,lily_and_the_lion,0.201,0.427
141,lily_and_the_lion,0.355,0.619
142,lily_and_the_lion,0.059,0.461
143,lily_and_the_lion,0.059,0.461
144,lily_and_the_lion,0.059,0.461
145,lily_and_the_lion,0.201,0.427
146,lily_and_the_lion,0.333,0.221
147,lily_and_the_lion,0.769,0.611
148,lily_and_the_lion,0.505,0.571
149,lily_and_the_lion,0.959,0.732
150,lily_and_the_lion,0.959,0.732
151,lily_and_the_lion,0.469,0.184
152,lily_and_the_lion,0.797,0.56
153,lily_and_the_lion,0.959,0.732
154,lily_and_the_lion,0.959,0.732
155,lily_and_the_lion,0.637,0.365
156,lily_and_the_lion,0.073,0.84
157,lily_and_the_lion,0.37,0.426
158,lily_and_the_lion,0.469,0.184
159,lily_and_the_lion,0.469,0.184
160,lily_and_the_lion,0.191,0.255
161,lily_and_the_lion,0.052,0.287
162,lily_and_the_lion,0.191,0.255
163,lily_and_the_lion,0.348,0.445
164,lily_and_the_lion,0.052,0.287
165,lily_and_the_lion,0.33,0.216
166,lily_and_the_lion,0.469,0.184
167,lily_and_the_lion,0.33,0.216
168,lily_and_the_lion,0.33,0.216
169,lily_and_the_lion,0.33,0.216
170,lily_and_the_lion,0.469,0.184
171,lily_and_the_lion,0.205,0.634
172,lily_and_the_lion,0.469,0.184
173,lily_and_the_lion,0.629,0.379
174,lily_and_the_lion,0.629,0.379
175,lily_and_the_lion,0.469,0.184
176,lily_and_the_lion,0.469,0.184
177,lily_and_the_lion,0.469,0.184
178,lily_and_the_lion,0.082,0.681
179,lily_and_the_lion,0.052,0.287
180,lily_and_the_lion,0.33,0.216
181,lily_and_the_lion,0.327,0.67
182,lily_and_the_lion,0.497,0.585
183,lily_and_the_lion,0.337,0.39
184,lily_and_the_lion,0.469,0.184
185,lily_and_the_lion,0.469,0.184
186,lily_and_the_lion,0.469,0.184
187,lily_and_the_lion,0.469,0.184
188,lily_and_the_lion,0.052,0.44
189,lily_and_the_lion,0.327,0.218
190,lily_and_the_lion,0.052,0.287
191,lily_and_the_lion,0.959,0.732
192,lily_and_the_lion,0.791,0.551
193,lily_and_the_lion,0.469,0.184
194,lily_and_the_lion,0.469,0.184
195,lily_and_the_lion,0.469,0.184
196,lily_and_the_lion,0.959,0.732
197,lily_and_the_lion,0.791,0.551
198,lily_and_the_lion,0.791,0.551
199,lily_and_the_lion,0.959,0.732
200,the_little_peasant,0.469,0.184
201,the_little_peasant,0.309,0.221
202,the_little_peasant,0.657,0.378
203,the_little_peasant,0.469,0.184
204,the_little_peasant,0.469,0.184
205,the_little_peasant,0.624,0.292
206,the_little_peasant,0.353,0.425
207,the_little_peasant,0.345,0.313
208,the_little_peasant,0.345,0.313
209,the_little_peasant,0.345,0.313
210,the_little_peasant,0.185,0.35
211,the_little_peasant,0.345,0.313
212,the_little_peasant,0.345,0.313
213,the_little_peasant,0.138,0.86
214,the_little_peasant,0.052,0.289
215,the_little_peasant,0.338,0.205
216,the_little_peasant,0.338,0.205
217,the_little_peasant,0.067,0.592
218,the_little_peasant,0.345,0.313
219,the_little_peasant,0.345,0.313
220,the_little_peasant,0.533,0.507
221,the_little_peasant,0.258,0.559
222,the_little_peasant,0.374,0.318
223,the_little_peasant,0.374,0.318
224,the_little_peasant,0.102,0.845
225,the_little_peasant,0.073,0.84
226,the_little_peasant,0.225,0.608
227,the_little_peasant,0.073,0.84
228,the_little_peasant,0.254,0.619
229,the_little_peasant,0.345,0.313
230,the_little_peasant,0.345,0.313
231,the_little_peasant,0.345,0.313
232,the_little_peasant,0.469,0.184
233,the_little_peasant,0.469,0.184
234,the_little_peasant,0.469,0.184
235,the_little_peasant,0.469,0.184
236,the_little_peasant,0.469,0.184
237,the_little_peasant,0.597,0.32
238,the_little_peasant,0.597,0.32
239,the_little_peasant,0.597,0.32
240,the_little_peasant,0.597,0.32
241,the_little_peasant,0.597,0.32
242,the_little_peasant,0.908,0.825
243,the_little_peasant,0.72,0.631
244,the_little_peasant,0.72,0.631
245,the_little_peasant,0.908,0.825
246,the_little_peasant,0.597,0.32
247,the_little_peasant,0.908,0.825
248,the_little_peasant,0.597,0.32
249,the_little_peasant,0.908,0.825
250,the_little_peasant,0.413,0.802
251,the_little_peasant,0.533,0.507
252,the_little_peasant,0.345,0.313
253,the_little_peasant,0.345,0.313
254,the_little_peasant,0.345,0.313
255,the_little_peasant,0.193,0.545
256,the_little_peasant,0.138,0.86
257,the_little_peasant,0.316,0.856
258,the_little_peasant,0.812,0.486
259,the_little_peasant,0.624,0.292
260,the_little_peasant,0.624,0.292
261,the_little_peasant,0.812,0.486
262,the_little_peasant,0.511,0.603
263,the_little_peasant,0.624,0.292
264,the_little_peasant,0.345,0.313
265,the_little_peasant,0.138,0.86
266,the_little_peasant,0.094,0.656
267,the_little_peasant,0.094,0.656
268,the_little_peasant,0.345,0.313
269,the_little_peasant,0.316,0.856
270,the_little_peasant,0.468,0.624
271,the_little_peasant,0.345,0.313
272,the_little_peasant,0.345,0.313
273,the_little_peasant,0.345,0.313
274,the_little_peasant,0.345,0.313
275,the_little_peasant,0.345,0.313
276,the_little_peasant,0.232,0.624
277,the_little_peasant,0.345,0.313
278,the_little_peasant,0.345,0.313
279,the_little_peasant,0.533,0.507
280,the_little_peasant,0.345,0.313
281,the_little_peasant,0.494,0.559
282,the_little_peasant,0.468,0.624
283,the_little_peasant,0.468,0.624
284,the_little_peasant,0.812,0.486
285,the_little_peasant,0.624,0.292
286,the_little_peasant,0.812,0.486
287,the_little_peasant,0.624,0.292
288,the_little_peasant,0.747,0.603
289,the_little_peasant,0.812,0.486
290,the_little_peasant,0.511,0.603
291,the_little_peasant,0.961,0.732
292,the_old_man_and_his_grandson,0.052,0.287
293,the_old_man_and_his_grandson,0.052,0.456
294,the_old_man_and_his_grandson,0.052,0.287
295,the_old_man_and_his_grandson,0.052,0.287
296,the_old_man_and_his_grandson,0.093,0.402
297,the_old_man_and_his_grandson,0.052,0.287
298,the_old_man_and_his_grandson,0.176,0.252
299,the_old_man_and_his_grandson,0.217,0.367
300,the_old_man_and_his_grandson,0.176,0.252
301,the_old_man_and_his_grandson,0.052,0.287
302,the_old_man_and_his_grandson,0.96,0.733
303,cat_and_mouse_in_partnership,0.959,0.731
304,cat_and_mouse_in_partnership,0.322,0.405
305,cat_and_mouse_in_partnership,0.469,0.184
306,cat_and_mouse_in_partnership,0.469,0.184
307,cat_and_mouse_in_partnership,0.469,0.184
308,cat_and_mouse_in_partnership,0.469,0.184
309,cat_and_mouse_in_partnership,0.469,0.184
310,cat_and_mouse_in_partnership,0.469,0.184
311,cat_and_mouse_in_partnership,0.469,0.184
312,cat_and_mouse_in_partnership,0.331,0.416
313,cat_and_mouse_in_partnership,0.331,0.416
314,cat_and_mouse_in_partnership,0.651,0.368
315,cat_and_mouse_in_partnership,0.469,0.184
316,cat_and_mouse_in_partnership,0.813,0.588
317,cat_and_mouse_in_partnership,0.469,0.184
318,cat_and_mouse_in_partnership,0.368,0.458
319,cat_and_mouse_in_partnership,0.207,0.694
320,cat_and_mouse_in_partnership,0.256,0.687
321,cat_and_mouse_in_partnership,0.476,0.439
322,cat_and_mouse_in_partnership,0.469,0.184
323,cat_and_mouse_in_partnership,0.631,0.404
324,cat_and_mouse_in_partnership,0.469,0.184
325,cat_and_mouse_in_partnership,0.813,0.588
326,cat_and_mouse_in_partnership,0.469,0.184
327,cat_and_mouse_in_partnership,0.469,0.184
328,cat_and_mouse_in_partnership,0.469,0.184
329,cat_and_mouse_in_partnership,0.331,0.416
330,cat_and_mouse_in_partnership,0.207,0.694
331,cat_and_mouse_in_partnership,0.476,0.439
332,cat_and_mouse_in_partnership,0.469,0.184
333,cat_and_mouse_in_partnership,0.469,0.184
334,cat_and_mouse_in_partnership,0.322,0.405
335,cat_and_mouse_in_partnership,0.322,0.405
336,cat_and_mouse_in_partnership,0.089,0.812
337,cat_and_mouse_in_partnership,0.19,0.246
338,cat_and_mouse_in_partnership,0.813,0.588
339,cat_and_mouse_in_partnership,0.469,0.184
340,cat_and_mouse_in_partnership,0.469,0.184
341,cat_and_mouse_in_partnership,0.469,0.184
342,cat_and_mouse_in_partnership,0.207,0.694
343,cat_and_mouse_in_partnership,0.331,0.416
344,cat_and_mouse_in_partnership,0.331,0.416
345,cat_and_mouse_in_partnership,0.813,0.588
346,cat_and_mouse_in_partnership,0.213,0.657
347,cat_and_mouse_in_partnership,0.19,0.246
348,cat_and_mouse_in_partnership,0.118,0.872
349,cat_and_mouse_in_partnership,0.118,0.872
350,cat_and_mouse_in_partnership,0.225,0.397
351,cat_and_mouse_in_partnership,0.167,0.865
352,cat_and_mouse_in_partnership,0.233,0.44
353,cat_and_mouse_in_partnership,0.19,0.246
354,the_blue_light,0.191,0.244
355,the_blue_light,0.344,0.199
356,the_blue_light,0.059,0.519
357,the_blue_light,0.199,0.483
358,the_blue_light,0.197,0.327
359,the_blue_light,0.239,0.576
360,the_blue_light,0.35,0.282
361,the_blue_light,0.35,0.282
362,the_blue_light,0.35,0.282
363,the_blue_light,0.35,0.282
364,the_blue_light,0.35,0.282
365,the_blue_light,0.35,0.282
366,the_blue_light,0.35,0.282
367,the_blue_light,0.469,0.184
368,the_blue_light,0.469,0.184
369,the_blue_light,0.469,0.184
370,the_blue_light,0.35,0.282
371,the_blue_light,0.239,0.576
372,the_blue_light,0.115,0.865
373,the_blue_light,0.058,0.371
374,the_blue_light,0.058,0.371
375,the_blue_light,0.052,0.288
376,the_blue_light,0.052,0.288
377,the_blue_light,0.726,0.576
378,the_blue_light,0.726,0.576
379,the_blue_light,0.59,0.287
380,the_blue_light,0.934,0.754
381,the_blue_light,0.35,0.282
382,the_blue_light,0.96,0.732
383,the_blue_light,0.516,0.55
384,the_blue_light,0.369,0.796
385,the_blue_light,0.616,0.265
386,the_blue_light,0.616,0.265
387,the_blue_light,0.616,0.265
388,the_blue_light,0.616,0.265
389,the_blue_light,0.616,0.265
390,the_blue_light,0.616,0.265
391,the_blue_light,0.616,0.265
392,the_blue_light,0.796,0.502
393,the_blue_light,0.278,0.57
394,the_blue_light,0.378,0.285
395,the_blue_light,0.378,0.285
396,the_blue_light,0.218,0.557
397,the_blue_light,0.35,0.282
398,the_blue_light,0.167,0.864
399,the_blue_light,0.267,0.579
400,the_blue_light,0.167,0.864
401,the_blue_light,0.244,0.484
402,the_blue_light,0.344,0.199
403,the_blue_light,0.344,0.199
404,the_blue_light,0.197,0.538
405,the_blue_light,0.35,0.282
406,the_blue_light,0.35,0.282
407,the_blue_light,0.35,0.282
408,the_blue_light,0.35,0.282
409,the_blue_light,0.35,0.282
410,the_blue_light,0.35,0.282
411,the_blue_light,0.35,0.282
412,the_blue_light,0.486,0.571
413,the_blue_light,0.35,0.282
414,the_blue_light,0.218,0.557
415,the_blue_light,0.218,0.557
416,the_blue_light,0.218,0.557
417,the_blue_light,0.205,0.566
418,the_blue_light,0.205,0.566
419,the_blue_light,0.35,0.282
420,the_blue_light,0.35,0.282
421,the_blue_light,0.35,0.282
422,the_blue_light,0.35,0.282
423,the_blue_light,0.616,0.265
424,the_blue_light,0.616,0.265
425,the_blue_light,0.066,0.61
426,the_blue_light,0.066,0.61
427,the_blue_light,0.211,0.326
428,the_blue_light,0.211,0.326
429,the_blue_light,0.139,0.861
430,the_blue_light,0.35,0.282
431,the_blue_light,0.167,0.864
432,the_blue_light,0.143,0.868
433,the_blue_light,0.133,0.854
434,briar_rose,0.469,0.183
435,briar_rose,0.051,0.288
436,briar_rose,0.206,0.42
437,briar_rose,0.96,0.731
438,briar_rose,0.96,0.731
439,briar_rose,0.631,0.354
440,briar_rose,0.631,0.354
441,briar_rose,0.469,0.183
442,briar_rose,0.805,0.561
443,briar_rose,0.805,0.561
444,briar_rose,0.229,0.644
445,briar_rose,0.167,0.865
446,briar_rose,0.167,0.865
447,briar_rose,0.331,0.216
448,briar_rose,0.213,0.592
449,briar_rose,0.805,0.561
450,briar_rose,0.469,0.183
451,briar_rose,0.469,0.183
452,briar_rose,0.346,0.399
453,briar_rose,0.346,0.399
454,briar_rose,0.469,0.183
455,briar_rose,0.624,0.353
456,briar_rose,0.183,0.256
457,briar_rose,0.331,0.216
458,briar_rose,0.346,0.399
459,briar_rose,0.331,0.216
460,briar_rose,0.469,0.183
461,briar_rose,0.183,0.256
462,briar_rose,0.331,0.216
463,briar_rose,0.331,0.216
464,briar_rose,0.469,0.183
465,briar_rose,0.338,0.388
466,briar_rose,0.932,0.776
467,briar_rose,0.469,0.183
468,briar_rose,0.469,0.183
469,briar_rose,0.469,0.183
470,briar_rose,0.96,0.731
471,briar_rose,0.96,0.731
472,briar_rose,0.932,0.776
473,briar_rose,0.96,0.731
474,rapunzel,0.331,0.221
475,rapunzel,0.331,0.221
476,rapunzel,0.469,0.184
477,rapunzel,0.338,0.413
478,rapunzel,0.179,0.26
479,rapunzel,0.179,0.26
480,rapunzel,0.179,0.26
481,rapunzel,0.179,0.26
482,rapunzel,0.338,0.413
483,rapunzel,0.469,0.184
484,rapunzel,0.469,0.184
485,rapunzel,0.338,0.413
486,rapunzel,0.194,0.658
487,rapunzel,0.259,0.676
488,rapunzel,0.259,0.676
489,rapunzel,0.194,0.658
490,rapunzel,0.194,0.658
491,rapunzel,0.317,0.405
492,rapunzel,0.067,0.687
493,rapunzel,0.631,0.376
494,rapunzel,0.196,0.479
495,rapunzel,0.469,0.184
496,rapunzel,0.469,0.184
497,rapunzel,0.469,0.184
498,rapunzel,0.469,0.184
499,rapunzel,0.811,0.58
500,rapunzel,0.469,0.184
501,rapunzel,0.469,0.184
502,rapunzel,0.469,0.184
503,rapunzel,0.469,0.184
504,rapunzel,0.469,0.184
505,rapunzel,0.469,0.184
506,rapunzel,0.469,0.184
507,rapunzel,0.469,0.184
508,rapunzel,0.469,0.184
509,rapunzel,0.194,0.658
510,rapunzel,0.961,0.732
511,rapunzel,0.799,0.54
512,rapunzel,0.961,0.732
513,rapunzel,0.469,0.184
514,rapunzel,0.348,0.366
515,rapunzel,0.138,0.858
516,rapunzel,0.138,0.858
517,rapunzel,0.138,0.858
518,rapunzel,0.138,0.858
519,rapunzel,0.094,0.504
520,rapunzel,0.232,0.467
521,rapunzel,0.342,0.213
522,rapunzel,0.469,0.184
523,rapunzel,0.073,0.84
524,rapunzel,0.138,0.858
525,rapunzel,0.132,0.705
526,rapunzel,0.052,0.289
527,rapunzel,0.052,0.289
528,rapunzel,0.052,0.289
529,rapunzel,0.19,0.252
530,rapunzel,0.929,0.786
531,rapunzel,0.929,0.786
532,rapunzel,0.961,0.732
533,clever_hans,0.469,0.184
534,clever_hans,0.469,0.184
535,clever_hans,0.469,0.184
536,clever_hans,0.469,0.184
537,clever_hans,0.469,0.184
538,clever_hans,0.469,0.184
539,clever_hans,0.469,0.184
540,clever_hans,0.469,0.184
541,clever_hans,0.469,0.184
542,clever_hans,0.469,0.184
543,clever_hans,0.469,0.184
544,clever_hans,0.469,0.184
545,clever_hans,0.469,0.184
546,clever_hans,0.469,0.184
547,clever_hans,0.469,0.184
548,clever_hans,0.469,0.184
549,clever_hans,0.469,0.184
550,clever_hans,0.469,0.184
551,clever_hans,0.469,0.184
552,clever_hans,0.469,0.184
553,clever_hans,0.469,0.184
554,clever_hans,0.469,0.184
555,clever_hans,0.469,0.184
556,clever_hans,0.469,0.184
557,clever_hans,0.167,0.865
558,clever_hans,0.167,0.865
559,clever_hans,0.285,0.629
560,clever_hans,0.4,0.377
561,clever_hans,0.469,0.184
562,clever_hans,0.469,0.184
563,clever_hans,0.469,0.184
564,clever_hans,0.469,0.184
565,clever_hans,0.469,0.184
566,clever_hans,0.469,0.184
567,clever_hans,0.469,0.184
568,clever_hans,0.469,0.184
569,clever_hans,0.469,0.184
570,clever_hans,0.469,0.184
571,clever_hans,0.469,0.184
572,clever_hans,0.469,0.184
573,clever_hans,0.469,0.184
574,clever_hans,0.469,0.184
575,clever_hans,0.469,0.184
576,clever_hans,0.469,0.184
577,clever_hans,0.469,0.184
578,clever_hans,0.319,0.427
579,clever_hans,0.469,0.184
580,clever_hans,0.469,0.184
581,clever_hans,0.469,0.184
582,clever_hans,0.469,0.184
583,clever_hans,0.469,0.184
584,clever_hans,0.319,0.427
585,clever_hans,0.469,0.184
586,clever_hans,0.167,0.865
587,clever_hans,0.4,0.377
588,clever_hans,0.4,0.377
589,clever_hans,0.469,0.184
590,clever_hans,0.469,0.184
591,clever_hans,0.469,0.184
592,clever_hans,0.469,0.184
593,clever_hans,0.469,0.184
594,clever_hans,0.469,0.184
595,clever_hans,0.469,0.184
596,clever_hans,0.469,0.184
597,clever_hans,0.469,0.184
598,clever_hans,0.469,0.184
599,clever_hans,0.469,0.184
600,clever_hans,0.469,0.184
601,clever_hans,0.469,0.184
602,clever_hans,0.469,0.184
603,clever_hans,0.052,0.288
604,clever_hans,0.373,0.213
605,clever_hans,0.373,0.213
606,clever_hans,0.223,0.456
607,clever_hans,0.215,0.252
608,clever_hans,0.469,0.184
609,clever_hans,0.469,0.184
610,clever_hans,0.469,0.184
611,clever_hans,0.469,0.184
612,clever_hans,0.319,0.427
613,clever_hans,0.469,0.184
614,clever_hans,0.132,0.856
615,clever_hans,0.4,0.377
616,clever_hans,0.469,0.184
617,clever_hans,0.469,0.184
618,clever_hans,0.469,0.184
619,clever_hans,0.469,0.184
620,clever_hans,0.469,0.184
621,clever_hans,0.469,0.184
622,clever_hans,0.469,0.184
623,clever_hans,0.469,0.184
624,clever_hans,0.469,0.184
625,clever_hans,0.583,0.339
626,clever_hans,0.583,0.339
627,clever_hans,0.583,0.339
628,clever_hans,0.469,0.184
629,clever_hans,0.469,0.184
630,clever_hans,0.469,0.184
631,clever_hans,0.527,0.469
632,clever_hans,0.373,0.213
633,clever_hans,0.373,0.213
634,clever_hans,0.373,0.213
635,clever_hans,0.373,0.213
636,clever_hans,0.373,0.213
637,clever_hans,0.373,0.213
638,clever_hans,0.373,0.213
639,clever_hans,0.373,0.213
640,clever_hans,0.373,0.213
641,clever_hans,0.373,0.213
642,clever_hans,0.21,0.249
643,clever_hans,0.167,0.865
644,clever_hans,0.4,0.377
645,clever_hans,0.4,0.377
646,clever_hans,0.469,0.184
647,clever_hans,0.469,0.184
648,clever_hans,0.469,0.184
649,clever_hans,0.469,0.184
650,clever_hans,0.469,0.184
651,clever_hans,0.469,0.184
652,clever_hans,0.469,0.184
653,clever_hans,0.583,0.339
654,clever_hans,0.583,0.339
655,clever_hans,0.583,0.339
656,clever_hans,0.583,0.339
657,clever_hans,0.583,0.339
658,clever_hans,0.554,0.633
659,clever_hans,0.4,0.377
660,clever_hans,0.4,0.377
661,clever_hans,0.469,0.184
662,clever_hans,0.469,0.184
663,clever_hans,0.469,0.184
664,clever_hans,0.373,0.213
665,clever_hans,0.373,0.213
666,clever_hans,0.469,0.184
667,clever_hans,0.319,0.427
668,clever_hans,0.306,0.22
669,clever_hans,0.167,0.865
670,clever_hans,0.4,0.377
671,clever_hans,0.4,0.377
672,clever_hans,0.4,0.377
673,clever_hans,0.4,0.377
674,clever_hans,0.469,0.184
675,clever_hans,0.469,0.184
676,clever_hans,0.469,0.184
677,clever_hans,0.469,0.184
678,clever_hans,0.583,0.339
679,clever_hans,0.583,0.339
680,clever_hans,0.583,0.339
681,clever_hans,0.583,0.339
682,clever_hans,0.583,0.339
683,clever_hans,0.623,0.44
684,clever_hans,0.469,0.184
685,clever_hans,0.469,0.184
686,clever_hans,0.469,0.184
687,clever_hans,0.469,0.184
688,clever_hans,0.469,0.184
689,clever_hans,0.469,0.184
690,clever_hans,0.469,0.184
691,clever_hans,0.469,0.184
692,clever_hans,0.623,0.44
693,clever_hans,0.25,0.62
694,clever_hans,0.554,0.633
695,clever_hans,0.167,0.865
696,clever_hans,0.4,0.377
697,clever_hans,0.259,0.633
698,clever_hans,0.141,0.869
699,tom_thumb,0.469,0.184
700,tom_thumb,0.052,0.288
701,tom_thumb,0.052,0.288
702,tom_thumb,0.052,0.288
703,tom_thumb,0.799,0.486
704,tom_thumb,0.96,0.732
705,tom_thumb,0.799,0.486
706,tom_thumb,0.623,0.295
707,tom_thumb,0.799,0.486
708,tom_thumb,0.469,0.184
709,tom_thumb,0.469,0.184
710,tom_thumb,0.469,0.184
711,tom_thumb,0.597,0.323
712,tom_thumb,0.597,0.323
713,tom_thumb,0.742,0.564
714,tom_thumb,0.469,0.184
715,tom_thumb,0.337,0.425
716,tom_thumb,0.337,0.425
717,tom_thumb,0.469,0.184
718,tom_thumb,0.806,0.621
719,tom_thumb,0.806,0.621
720,tom_thumb,0.469,0.184
721,tom_thumb,0.204,0.529
722,tom_thumb,0.352,0.323
723,tom_thumb,0.204,0.529
724,tom_thumb,0.196,0.522
725,tom_thumb,0.344,0.316
726,tom_thumb,0.344,0.316
727,tom_thumb,0.344,0.316
728,tom_thumb,0.344,0.316
729,tom_thumb,0.337,0.205
730,tom_thumb,0.337,0.205
731,tom_thumb,0.469,0.184
732,tom_thumb,0.482,0.524
733,tom_thumb,0.96,0.732
734,tom_thumb,0.516,0.533
735,tom_thumb,0.623,0.295
736,tom_thumb,0.214,0.611
737,tom_thumb,0.214,0.611
738,tom_thumb,0.489,0.557
739,tom_thumb,0.934,0.76
740,tom_thumb,0.328,0.413
741,tom_thumb,0.469,0.184
742,tom_thumb,0.339,0.479
743,tom_thumb,0.469,0.184
744,tom_thumb,0.469,0.184
745,tom_thumb,0.469,0.184
746,tom_thumb,0.469,0.184
747,tom_thumb,0.344,0.316
748,tom_thumb,0.344,0.316
749,tom_thumb,0.505,0.562
750,tom_thumb,0.469,0.184
751,tom_thumb,0.198,0.708
752,tom_thumb,0.198,0.708
753,tom_thumb,0.456,0.552
754,tom_thumb,0.597,0.323
755,tom_thumb,0.328,0.413
756,tom_thumb,0.232,0.717
757,tom_thumb,0.362,0.422
758,tom_thumb,0.597,0.323
759,tom_thumb,0.263,0.728
760,tom_thumb,0.339,0.479
761,tom_thumb,0.623,0.295
762,tom_thumb,0.623,0.295
763,tom_thumb,0.066,0.592
764,tom_thumb,0.081,0.847
765,tom_thumb,0.09,0.859
766,tom_thumb,0.222,0.618
767,tom_thumb,0.073,0.84
768,tom_thumb,0.073,0.84
769,tom_thumb,0.073,0.84
770,tom_thumb,0.073,0.84
771,tom_thumb,0.214,0.611
772,tom_thumb,0.214,0.611
773,tom_thumb,0.214,0.611
774,tom_thumb,0.214,0.611
775,tom_thumb,0.245,0.622
